Auftragsname,Wörter,Zeit,Von,Sprache,Übersetzung,Korrektur,Kanal,Ablageort,Eingang,Lieferdatum,Deadline,Abteilung,Status,Verantwortlich,Bereich
2026-02-03T14-17-44_PM-History-Texts.xml,,,TJa,DE,Franziska,,LS-Tracker,Z:\Produkte\F!Box allgemein\Info.txt\Release\25_Smart24-P2\2026.02,12/2/2025,1/4/2026,2/3/2026,Product Management,geliefert,FSc,Vertrieb
2026-02-03T15-55-13_PM-History-Texts_korr-de.xml,,,TJa,EN,Franziska,,LS-Tracker,Z:\Produkte\F!Box allgemein\Info.txt\Release\25_Smart24-P2\2026.02,2/3/2025,2/3/2026,2/3/2026,Product Management,geliefert,,Vertrieb
"2026_Ankuendigung_FRITZ!Repeater_2400_Edition International-de.docx,503,,APa,DE,Franziska,,Mail,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.02"",2/13/2025,2/16/2026,2/20/2026,Sales Marketing,Ü-fertig,Hme,Entwicklung"
"2026_Ankuendigung_FRITZ!Repeater_2400_Edition International-de.docx,503,,APa,PL,Yabylon,,Mail,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.02"",2/13/2025,2/16/2026,2/20/2026,Sales Marketing,geliefert,Hme,Entwicklung"
"2026_Ankuendigung_FRITZ!Repeater 600 Edition International-de.docx,443,,APa,DE,Franziska,,Mail,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.02"",2/13/2025,2/16/2026,2/20/2026,Sales Marketing,Ü-fertig,Hme,Entwicklung"
"2026_Ankuendigung_FRITZ!Repeater 600 Edition International-de.docx,443,,APa,Pl,Yabylon,,Mail,""Z:\Produkte\Texte Web, Marketing, etc\deutsch\2026.02"",2/13/2025,2/16/2026,2/20/2026,Sales Marketing,geliefert,Hme,Entwicklung"
NL_Newsletter_März.docx,514,,Pse,NL,Angelique,,LS-Tracker,BP-Technik,3/4/2025,3/10/2026,3/13/2026,Channel Sales,geliefert,Hme,Entwicklung
4614_en-GB_technik_20260304-092633.xml,367,,Pse,EN,John,,LS-Tracker,BP-Technik,3/4/2025,3/20/2026,3/20/2026,Channel Sales,geliefert,Hme,Vertrieb
4746_en-GB_security_und_software_20260304-091506.xml,104,,Pse,EN,John,,LS-Tracker,BP-Technik,3/4/2025,3/20/2026,3/20/2026,Channel Sales,geliefert,Hme,Vertrieb
4747_en-GB_failsafe_20260304-091557.xml,295,,Pse,EN,John,,LS-Tracker,BP-Technik,3/4/2025,3/20/2026,3/20/2026,Channel Sales,geliefert,Hme,D2C
